filepath,label
../data/dataset_split\test\A\sub-003_segment0193.npy,A
../data/dataset_split\test\A\sub-003_segment0194.npy,A
../data/dataset_split\test\A\sub-003_segment0195.npy,A
../data/dataset_split\test\A\sub-003_segment0196.npy,A
../data/dataset_split\test\A\sub-003_segment0197.npy,A
../data/dataset_split\test\A\sub-003_segment0198.npy,A
../data/dataset_split\test\A\sub-003_segment0199.npy,A
../data/dataset_split\test\A\sub-003_segment0200.npy,A
../data/dataset_split\test\A\sub-003_segment0201.npy,A
../data/dataset_split\test\A\sub-003_segment0202.npy,A
../data/dataset_split\test\A\sub-003_segment0203.npy,A
../data/dataset_split\test\A\sub-003_segment0204.npy,A
../data/dataset_split\test\A\sub-003_segment0205.npy,A
../data/dataset_split\test\A\sub-003_segment0206.npy,A
../data/dataset_split\test\A\sub-003_segment0207.npy,A
../data/dataset_split\test\A\sub-003_segment0208.npy,A
../data/dataset_split\test\A\sub-003_segment0209.npy,A
../data/dataset_split\test\A\sub-003_segment0210.npy,A
../data/dataset_split\test\A\sub-003_segment0211.npy,A
../data/dataset_split\test\A\sub-003_segment0212.npy,A
../data/dataset_split\test\A\sub-003_segment0213.npy,A
../data/dataset_split\test\A\sub-003_segment0214.npy,A
../data/dataset_split\test\A\sub-003_segment0215.npy,A
../data/dataset_split\test\A\sub-003_segment0216.npy,A
../data/dataset_split\test\A\sub-003_segment0217.npy,A
../data/dataset_split\test\A\sub-003_segment0218.npy,A
../data/dataset_split\test\A\sub-003_segment0219.npy,A
../data/dataset_split\test\A\sub-003_segment0220.npy,A
../data/dataset_split\test\A\sub-003_segment0221.npy,A
../data/dataset_split\test\A\sub-003_segment0222.npy,A
../data/dataset_split\test\A\sub-003_segment0223.npy,A
../data/dataset_split\test\A\sub-003_segment0224.npy,A
../data/dataset_split\test\A\sub-003_segment0225.npy,A
../data/dataset_split\test\A\sub-003_segment0226.npy,A
../data/dataset_split\test\A\sub-003_segment0227.npy,A
../data/dataset_split\test\A\sub-003_segment0228.npy,A
../data/dataset_split\test\A\sub-003_segment0229.npy,A
../data/dataset_split\test\A\sub-003_segment0230.npy,A
../data/dataset_split\test\A\sub-003_segment0231.npy,A
../data/dataset_split\test\A\sub-003_segment0232.npy,A
../data/dataset_split\test\A\sub-003_segment0233.npy,A
../data/dataset_split\test\A\sub-003_segment0234.npy,A
../data/dataset_split\test\A\sub-003_segment0235.npy,A
../data/dataset_split\test\A\sub-003_segment0236.npy,A
../data/dataset_split\test\A\sub-003_segment0237.npy,A
../data/dataset_split\test\A\sub-003_segment0238.npy,A
../data/dataset_split\test\A\sub-003_segment0239.npy,A
../data/dataset_split\test\A\sub-003_segment0240.npy,A
../data/dataset_split\test\A\sub-003_segment0241.npy,A
../data/dataset_split\test\A\sub-003_segment0242.npy,A
../data/dataset_split\test\A\sub-003_segment0243.npy,A
../data/dataset_split\test\A\sub-003_segment0244.npy,A
../data/dataset_split\test\A\sub-003_segment0245.npy,A
../data/dataset_split\test\A\sub-003_segment0246.npy,A
../data/dataset_split\test\A\sub-003_segment0247.npy,A
../data/dataset_split\test\A\sub-003_segment0248.npy,A
../data/dataset_split\test\A\sub-003_segment0249.npy,A
../data/dataset_split\test\A\sub-003_segment0250.npy,A
../data/dataset_split\test\A\sub-003_segment0251.npy,A
../data/dataset_split\test\A\sub-003_segment0252.npy,A
../data/dataset_split\test\A\sub-003_segment0253.npy,A
../data/dataset_split\test\A\sub-003_segment0254.npy,A
../data/dataset_split\test\A\sub-003_segment0255.npy,A
../data/dataset_split\test\A\sub-003_segment0256.npy,A
../data/dataset_split\test\A\sub-003_segment0257.npy,A
../data/dataset_split\test\A\sub-003_segment0258.npy,A
../data/dataset_split\test\A\sub-003_segment0259.npy,A
../data/dataset_split\test\A\sub-003_segment0260.npy,A
../data/dataset_split\test\A\sub-003_segment0261.npy,A
../data/dataset_split\test\A\sub-003_segment0262.npy,A
../data/dataset_split\test\A\sub-003_segment0263.npy,A
../data/dataset_split\test\A\sub-003_segment0264.npy,A
../data/dataset_split\test\A\sub-003_segment0265.npy,A
../data/dataset_split\test\A\sub-003_segment0266.npy,A
../data/dataset_split\test\A\sub-003_segment0267.npy,A
../data/dataset_split\test\A\sub-003_segment0268.npy,A
../data/dataset_split\test\A\sub-003_segment0269.npy,A
../data/dataset_split\test\A\sub-003_segment0270.npy,A
../data/dataset_split\test\A\sub-003_segment0271.npy,A
../data/dataset_split\test\A\sub-003_segment0272.npy,A
../data/dataset_split\test\A\sub-004_segment0000.npy,A
../data/dataset_split\test\A\sub-004_segment0001.npy,A
../data/dataset_split\test\A\sub-004_segment0002.npy,A
../data/dataset_split\test\A\sub-004_segment0003.npy,A
../data/dataset_split\test\A\sub-004_segment0004.npy,A
../data/dataset_split\test\A\sub-004_segment0005.npy,A
../data/dataset_split\test\A\sub-004_segment0006.npy,A
../data/dataset_split\test\A\sub-004_segment0007.npy,A
../data/dataset_split\test\A\sub-004_segment0008.npy,A
../data/dataset_split\test\A\sub-004_segment0009.npy,A
../data/dataset_split\test\A\sub-004_segment0010.npy,A
../data/dataset_split\test\A\sub-004_segment0011.npy,A
../data/dataset_split\test\A\sub-004_segment0012.npy,A
../data/dataset_split\test\A\sub-004_segment0013.npy,A
../data/dataset_split\test\A\sub-004_segment0014.npy,A
../data/dataset_split\test\A\sub-004_segment0015.npy,A
../data/dataset_split\test\A\sub-004_segment0016.npy,A
../data/dataset_split\test\A\sub-004_segment0017.npy,A
../data/dataset_split\test\A\sub-004_segment0018.npy,A
../data/dataset_split\test\A\sub-004_segment0019.npy,A
../data/dataset_split\test\A\sub-004_segment0020.npy,A
../data/dataset_split\test\A\sub-004_segment0021.npy,A
../data/dataset_split\test\A\sub-004_segment0022.npy,A
../data/dataset_split\test\A\sub-004_segment0023.npy,A
../data/dataset_split\test\A\sub-004_segment0024.npy,A
../data/dataset_split\test\A\sub-004_segment0025.npy,A
../data/dataset_split\test\A\sub-004_segment0026.npy,A
../data/dataset_split\test\A\sub-004_segment0027.npy,A
../data/dataset_split\test\A\sub-004_segment0028.npy,A
../data/dataset_split\test\A\sub-004_segment0029.npy,A
../data/dataset_split\test\A\sub-004_segment0030.npy,A
../data/dataset_split\test\A\sub-004_segment0031.npy,A
../data/dataset_split\test\A\sub-004_segment0032.npy,A
../data/dataset_split\test\A\sub-004_segment0033.npy,A
../data/dataset_split\test\A\sub-004_segment0034.npy,A
../data/dataset_split\test\A\sub-004_segment0035.npy,A
../data/dataset_split\test\A\sub-004_segment0036.npy,A
../data/dataset_split\test\A\sub-004_segment0037.npy,A
../data/dataset_split\test\A\sub-004_segment0038.npy,A
../data/dataset_split\test\A\sub-004_segment0039.npy,A
../data/dataset_split\test\A\sub-004_segment0040.npy,A
../data/dataset_split\test\A\sub-004_segment0041.npy,A
../data/dataset_split\test\A\sub-004_segment0042.npy,A
../data/dataset_split\test\A\sub-004_segment0043.npy,A
../data/dataset_split\test\A\sub-004_segment0044.npy,A
../data/dataset_split\test\A\sub-004_segment0045.npy,A
../data/dataset_split\test\A\sub-004_segment0046.npy,A
../data/dataset_split\test\A\sub-004_segment0047.npy,A
../data/dataset_split\test\A\sub-004_segment0048.npy,A
../data/dataset_split\test\A\sub-004_segment0049.npy,A
../data/dataset_split\test\A\sub-004_segment0050.npy,A
../data/dataset_split\test\A\sub-004_segment0051.npy,A
../data/dataset_split\test\A\sub-004_segment0052.npy,A
../data/dataset_split\test\A\sub-004_segment0053.npy,A
../data/dataset_split\test\A\sub-004_segment0054.npy,A
../data/dataset_split\test\A\sub-004_segment0055.npy,A
../data/dataset_split\test\A\sub-004_segment0056.npy,A
../data/dataset_split\test\A\sub-004_segment0057.npy,A
../data/dataset_split\test\A\sub-004_segment0058.npy,A
../data/dataset_split\test\A\sub-004_segment0059.npy,A
../data/dataset_split\test\A\sub-004_segment0060.npy,A
../data/dataset_split\test\A\sub-004_segment0061.npy,A
../data/dataset_split\test\A\sub-004_segment0062.npy,A
../data/dataset_split\test\A\sub-004_segment0063.npy,A
../data/dataset_split\test\A\sub-004_segment0064.npy,A
../data/dataset_split\test\A\sub-004_segment0065.npy,A
../data/dataset_split\test\A\sub-004_segment0066.npy,A
../data/dataset_split\test\A\sub-004_segment0067.npy,A
../data/dataset_split\test\A\sub-004_segment0068.npy,A
../data/dataset_split\test\A\sub-004_segment0069.npy,A
../data/dataset_split\test\A\sub-004_segment0070.npy,A
../data/dataset_split\test\A\sub-004_segment0071.npy,A
../data/dataset_split\test\A\sub-004_segment0072.npy,A
../data/dataset_split\test\A\sub-004_segment0073.npy,A
../data/dataset_split\test\A\sub-004_segment0074.npy,A
../data/dataset_split\test\A\sub-004_segment0075.npy,A
../data/dataset_split\test\A\sub-004_segment0076.npy,A
../data/dataset_split\test\A\sub-004_segment0077.npy,A
../data/dataset_split\test\A\sub-004_segment0078.npy,A
../data/dataset_split\test\A\sub-004_segment0079.npy,A
../data/dataset_split\test\A\sub-004_segment0080.npy,A
../data/dataset_split\test\A\sub-004_segment0081.npy,A
../data/dataset_split\test\A\sub-004_segment0082.npy,A
../data/dataset_split\test\A\sub-004_segment0083.npy,A
../data/dataset_split\test\A\sub-004_segment0084.npy,A
../data/dataset_split\test\A\sub-004_segment0085.npy,A
../data/dataset_split\test\A\sub-004_segment0086.npy,A
../data/dataset_split\test\A\sub-004_segment0087.npy,A
../data/dataset_split\test\A\sub-004_segment0088.npy,A
../data/dataset_split\test\A\sub-004_segment0089.npy,A
../data/dataset_split\test\A\sub-004_segment0090.npy,A
../data/dataset_split\test\A\sub-004_segment0091.npy,A
../data/dataset_split\test\A\sub-004_segment0092.npy,A
../data/dataset_split\test\A\sub-004_segment0093.npy,A
../data/dataset_split\test\A\sub-004_segment0094.npy,A
../data/dataset_split\test\A\sub-004_segment0095.npy,A
../data/dataset_split\test\A\sub-004_segment0096.npy,A
../data/dataset_split\test\A\sub-004_segment0097.npy,A
../data/dataset_split\test\A\sub-004_segment0098.npy,A
../data/dataset_split\test\A\sub-004_segment0099.npy,A
../data/dataset_split\test\A\sub-004_segment0100.npy,A
../data/dataset_split\test\A\sub-004_segment0101.npy,A
../data/dataset_split\test\A\sub-004_segment0102.npy,A
../data/dataset_split\test\A\sub-004_segment0103.npy,A
../data/dataset_split\test\A\sub-004_segment0104.npy,A
../data/dataset_split\test\A\sub-004_segment0105.npy,A
../data/dataset_split\test\A\sub-004_segment0106.npy,A
../data/dataset_split\test\A\sub-004_segment0107.npy,A
../data/dataset_split\test\A\sub-004_segment0108.npy,A
../data/dataset_split\test\A\sub-004_segment0109.npy,A
../data/dataset_split\test\A\sub-004_segment0110.npy,A
../data/dataset_split\test\A\sub-004_segment0111.npy,A
../data/dataset_split\test\A\sub-004_segment0112.npy,A
../data/dataset_split\test\A\sub-004_segment0113.npy,A
../data/dataset_split\test\A\sub-004_segment0114.npy,A
../data/dataset_split\test\A\sub-004_segment0115.npy,A
../data/dataset_split\test\A\sub-004_segment0116.npy,A
../data/dataset_split\test\A\sub-004_segment0117.npy,A
../data/dataset_split\test\A\sub-004_segment0118.npy,A
../data/dataset_split\test\A\sub-004_segment0119.npy,A
../data/dataset_split\test\A\sub-004_segment0120.npy,A
../data/dataset_split\test\A\sub-004_segment0121.npy,A
../data/dataset_split\test\A\sub-004_segment0122.npy,A
../data/dataset_split\test\A\sub-004_segment0123.npy,A
../data/dataset_split\test\A\sub-004_segment0124.npy,A
../data/dataset_split\test\A\sub-004_segment0125.npy,A
../data/dataset_split\test\A\sub-004_segment0126.npy,A
../data/dataset_split\test\A\sub-004_segment0127.npy,A
../data/dataset_split\test\A\sub-004_segment0128.npy,A
../data/dataset_split\test\A\sub-004_segment0129.npy,A
../data/dataset_split\test\A\sub-004_segment0130.npy,A
../data/dataset_split\test\A\sub-004_segment0131.npy,A
../data/dataset_split\test\A\sub-004_segment0132.npy,A
../data/dataset_split\test\A\sub-004_segment0133.npy,A
../data/dataset_split\test\A\sub-004_segment0134.npy,A
../data/dataset_split\test\A\sub-004_segment0135.npy,A
../data/dataset_split\test\A\sub-004_segment0136.npy,A
../data/dataset_split\test\A\sub-004_segment0137.npy,A
../data/dataset_split\test\A\sub-004_segment0138.npy,A
../data/dataset_split\test\A\sub-004_segment0139.npy,A
../data/dataset_split\test\A\sub-004_segment0140.npy,A
../data/dataset_split\test\A\sub-004_segment0141.npy,A
../data/dataset_split\test\A\sub-004_segment0142.npy,A
../data/dataset_split\test\A\sub-004_segment0143.npy,A
../data/dataset_split\test\A\sub-004_segment0144.npy,A
../data/dataset_split\test\A\sub-004_segment0145.npy,A
../data/dataset_split\test\A\sub-004_segment0146.npy,A
../data/dataset_split\test\A\sub-004_segment0147.npy,A
../data/dataset_split\test\A\sub-004_segment0148.npy,A
../data/dataset_split\test\A\sub-004_segment0149.npy,A
../data/dataset_split\test\A\sub-004_segment0150.npy,A
../data/dataset_split\test\A\sub-004_segment0151.npy,A
../data/dataset_split\test\A\sub-004_segment0152.npy,A
../data/dataset_split\test\A\sub-004_segment0153.npy,A
../data/dataset_split\test\A\sub-004_segment0154.npy,A
../data/dataset_split\test\A\sub-004_segment0155.npy,A
../data/dataset_split\test\A\sub-004_segment0156.npy,A
../data/dataset_split\test\A\sub-004_segment0157.npy,A
../data/dataset_split\test\A\sub-004_segment0158.npy,A
../data/dataset_split\test\A\sub-004_segment0159.npy,A
../data/dataset_split\test\A\sub-004_segment0160.npy,A
../data/dataset_split\test\A\sub-004_segment0161.npy,A
../data/dataset_split\test\A\sub-004_segment0162.npy,A
../data/dataset_split\test\A\sub-004_segment0163.npy,A
../data/dataset_split\test\A\sub-004_segment0164.npy,A
../data/dataset_split\test\A\sub-004_segment0165.npy,A
../data/dataset_split\test\A\sub-004_segment0166.npy,A
../data/dataset_split\test\A\sub-004_segment0167.npy,A
../data/dataset_split\test\A\sub-004_segment0168.npy,A
../data/dataset_split\test\A\sub-004_segment0169.npy,A
../data/dataset_split\test\A\sub-004_segment0170.npy,A
../data/dataset_split\test\A\sub-004_segment0171.npy,A
../data/dataset_split\test\A\sub-004_segment0172.npy,A
../data/dataset_split\test\A\sub-004_segment0173.npy,A
../data/dataset_split\test\A\sub-004_segment0174.npy,A
../data/dataset_split\test\A\sub-004_segment0175.npy,A
../data/dataset_split\test\A\sub-004_segment0176.npy,A
../data/dataset_split\test\A\sub-004_segment0177.npy,A
../data/dataset_split\test\A\sub-004_segment0178.npy,A
../data/dataset_split\test\A\sub-004_segment0179.npy,A
../data/dataset_split\test\A\sub-004_segment0180.npy,A
../data/dataset_split\test\A\sub-004_segment0181.npy,A
../data/dataset_split\test\A\sub-004_segment0182.npy,A
../data/dataset_split\test\A\sub-004_segment0183.npy,A
../data/dataset_split\test\A\sub-004_segment0184.npy,A
../data/dataset_split\test\A\sub-004_segment0185.npy,A
../data/dataset_split\test\A\sub-004_segment0186.npy,A
../data/dataset_split\test\A\sub-004_segment0187.npy,A
../data/dataset_split\test\A\sub-004_segment0188.npy,A
../data/dataset_split\test\A\sub-004_segment0189.npy,A
../data/dataset_split\test\A\sub-004_segment0190.npy,A
../data/dataset_split\test\A\sub-004_segment0191.npy,A
../data/dataset_split\test\A\sub-004_segment0192.npy,A
../data/dataset_split\test\A\sub-004_segment0193.npy,A
../data/dataset_split\test\A\sub-004_segment0194.npy,A
../data/dataset_split\test\A\sub-004_segment0195.npy,A
../data/dataset_split\test\A\sub-004_segment0196.npy,A
../data/dataset_split\test\A\sub-004_segment0197.npy,A
../data/dataset_split\test\A\sub-004_segment0198.npy,A
../data/dataset_split\test\A\sub-004_segment0199.npy,A
../data/dataset_split\test\A\sub-004_segment0200.npy,A
../data/dataset_split\test\A\sub-004_segment0201.npy,A
../data/dataset_split\test\A\sub-004_segment0202.npy,A
../data/dataset_split\test\A\sub-004_segment0203.npy,A
../data/dataset_split\test\A\sub-004_segment0204.npy,A
../data/dataset_split\test\A\sub-004_segment0205.npy,A
../data/dataset_split\test\A\sub-004_segment0206.npy,A
../data/dataset_split\test\A\sub-004_segment0207.npy,A
../data/dataset_split\test\A\sub-004_segment0208.npy,A
../data/dataset_split\test\A\sub-004_segment0209.npy,A
../data/dataset_split\test\A\sub-004_segment0210.npy,A
../data/dataset_split\test\A\sub-004_segment0211.npy,A
../data/dataset_split\test\A\sub-004_segment0212.npy,A
../data/dataset_split\test\A\sub-004_segment0213.npy,A
../data/dataset_split\test\A\sub-004_segment0214.npy,A
../data/dataset_split\test\A\sub-004_segment0215.npy,A
../data/dataset_split\test\A\sub-004_segment0216.npy,A
../data/dataset_split\test\A\sub-004_segment0217.npy,A
../data/dataset_split\test\A\sub-004_segment0218.npy,A
../data/dataset_split\test\A\sub-004_segment0219.npy,A
../data/dataset_split\test\A\sub-004_segment0220.npy,A
../data/dataset_split\test\A\sub-004_segment0221.npy,A
../data/dataset_split\test\A\sub-004_segment0222.npy,A
../data/dataset_split\test\A\sub-004_segment0223.npy,A
../data/dataset_split\test\A\sub-004_segment0224.npy,A
../data/dataset_split\test\A\sub-004_segment0225.npy,A
